,auc,evd,visual_index,timing_index,strategy_index
1113937415,0.7123890164115889,-1899.0289881529607,0.12827374192133975,6.4594486799351065,-6.331174938013767
1116896007,0.8588904829215807,-600.5909988145577,24.98167452471709,6.1619129691055745,18.819761555611514
1116697809,0.8031386115845575,-968.9227527369803,14.545633124963366,4.4056832088724835,10.139949916090883
1116433179,0.825734642239623,-931.5230475820936,9.984344843692174,3.4803149362055743,6.5040299074866
1124236078,0.8514241211880993,-569.2570259136191,34.012749370003974,3.5084748558072505,30.504274514196723
1123789401,0.8745496324066125,-580.3588669438104,30.879383573473834,5.834490690940855,25.044892882532977
1124031793,0.8447288765088207,-630.4975966487182,29.525078151654927,3.874194469309323,25.650883682345604
1125704043,0.8074113142312547,-968.8799534648642,21.98476478404084,5.202163888383058,16.782600895657783
1125254502,0.7771306964770329,-1319.2195808921679,10.764397046708826,5.670443123530359,5.093953923178467
1125489477,0.7578234798340124,-1180.7370712431075,13.506288921082058,4.095339114204828,9.41094980687723
1036855550,0.8064261298168925,-1279.2448092990162,6.417695492994308,4.0836089057734934,2.3340865872208143
1037466182,0.7290948422618484,-1842.328708319299,6.278272681504239,4.690923827394782,1.5873488541094574
1035976487,0.7101362693556399,-2221.446580580283,0.050589252626710116,6.853381808929665,-6.802792556302955
1036434296,0.7396025511120943,-2017.8165894320919,0.03013943820968341,10.56647886284031,-10.536339424630626
1036629839,0.7633971412408418,-1734.703102231062,1.6543213604102498,10.31616102550684,-8.66183966509659
1034508317,0.7814852640050528,-1150.474853937878,0.8052865348043635,6.774346580023889,-5.969060045219526
1044629197,0.8271054745427584,-1274.755945844583,3.531370266777565,7.645344858621826,-4.113974591844261
1043774368,0.8317228880529954,-1323.9941724340897,4.218993325890057,9.449287856334253,-5.230294530444196
1047772100,0.8290374611956121,-1021.6223156644483,11.937388408169337,6.7219970341821895,5.215391373987147
1046638304,0.8361829252795207,-1381.7544391939664,3.103376640499764,18.606306101722094,-15.50292946122233
1047535739,0.7584173378760565,-465.48589920860104,0.6469339658091114,0.8421207900990211,-0.19518682428990963
1048001337,0.7729263365360927,-1359.5604705030491,11.39815138001889,1.6506026354867884,9.747548744532102
1046925699,0.770887627854841,-155.1336164720342,4.537380037634717,3.9972467112103187,0.5401333264243986
1045904194,0.8783827126765419,-969.7578384659646,11.75796720325208,13.403725411586251,-1.6457582083341702
1046247654,0.8385785345945982,-1344.3988555522883,5.031268785417002,16.664085667388107,-11.632816881971106
1052305334,0.7923742668658605,-1451.5950064377466,6.839751029956245,9.928954570690628,-3.089203540734383
1052104716,0.7910395252080273,-1590.3868628376367,6.171605557629778,9.117224015922682,-2.9456184582929037
1058467160,0.9232665168442633,-521.707671039112,50.33709568710153,7.158638655107677,43.17845703199385
1059254645,0.8256458193118462,-1153.0889349670906,12.21051213520726,9.05791867390902,3.15259346129824
1058751471,0.7533956348405928,-1433.272137823893,2.8453762120276584,7.208804063957443,-4.363427851929784
1063891105,0.8405398731239686,-1148.9935549520742,11.618242640917533,12.475823291536727,-0.8575806506191945
1062731320,0.8123163003528165,-1454.0671674936457,3.601345205003591,12.872951299421247,-9.271606094417656
1062951905,0.8422761396848055,-1386.4489673554926,4.702763055974339,20.86683822053334,-16.164075164559
1063206219,0.8827191721668526,-1073.0325846016422,10.933630082304468,19.175734308794908,-8.24210422649044
1062500414,0.7737482869150456,-1843.4252270567958,2.7953833548024014,11.384538715605045,-8.589155360802643
1062276047,0.7731375753041697,-2101.8958843535584,0.24356051446091545,13.98234599849525,-13.738785484034334
1060056254,0.8651127950428272,-1051.1654224879385,15.182126315564066,14.402701924746463,0.7794243908176028
1059870997,0.8196384413926247,-1207.997141251617,16.978703479917428,8.4451793436764,8.533524136241027
1060986134,0.8421109488313601,-1304.4875628300215,6.926386997493945,6.413103680058518,0.5132833174354268
